Top,Escuela,Porcentaje de aciertos correctos,Porcentaje de aciertos correctos para la sección Listening,Porcentaje de aciertos correctos para la sección Reading/Writing,Porcentaje de aciertos correctos para la sección Speaking parte 1,Porcentaje de aciertos correctos para la sección Speaking parte 2,Porcentaje de aciertos correctos para la sección Speaking,Calificación promedio en los exámenes para la sección Listening,Calificación promedio en los exámenes para la sección Reading/Writing,Calificación promedio en los exámenes para la sección Speaking parte 1,Calificación promedio en los exámenes para la sección Speaking parte 2,Calificación promedio en los exámenes para la sección Speaking,Promedio de aciertos en los exámenes para la sección Listening,Promedio de aciertos en los exámenes para la sección Reading/Writing,Promedio de aciertos en los exámenes para la sección Speaking parte 1,Promedio de aciertos en los exámenes para la sección Speaking parte 2,Promedio de aciertos en los exámenes para la sección Speaking,Promedio de aciertos en la sección Listening asignada por revisores,Promedio de aciertos en la sección Reading/Writing asignada por revisores,Promedio de aciertos en la sección de Speaking parte 1 asignada por revisores,Promedio de aciertos en la sección de Speaking parte 2 asignada por revisores
1,LEONA VICARIO - 28DPR1169O,76.25,80.0,80.0,75.0,62.5,68.75,A2,A2 -,A2,A2,A2,20,32,6,5,5,20,31,5,5
2,CLUB DE LEONES - 28DPR1142H,60.17,68.0,75.0,37.5,37.5,37.5,A2 -,A1 +,A1,A1,A1,17,30,3,3,3,19,28,5,4
3,ENRIQUE C. REBSAMEN - 28DPR1139U,59.67,84.0,82.5,12.5,12.5,12.5,A2,A2 -,A1,A1,A1,21,33,1,1,1,21,31,2,2
4,IGNACIO LOPEZ RAYON - 28DPR2164Z,57.0,76.0,82.5,12.5,12.5,12.5,A2 -,A2 -,A1,A1,A1,19,33,1,1,1,20,27,3,3
5,HIMNO NACIONAL - 28DPR1130C,55.5,64.0,65.0,37.5,37.5,37.5,A1 +,A1 +,A1,A1,A1,16,26,3,3,3,16,22,3,3
6,DISTRIBUIDORES NISSAN NUM. 37 - 28DPR2463Y,54.42,52.0,67.5,37.5,50.0,43.75,A1,A1 +,A1,A1,A1,13,27,3,4,4,13,18,2,2
7,JOSE VASCONCELOS - 28DPR2098R,53.0,64.0,70.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,16,28,2,2,2,11,20,3,3
8,ANTONIO ALVAREZ BERRONES - 28DPR1121V,51.33,64.0,65.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,16,26,2,2,2,15,26,2,2
9,SIMON BOLIVAR - 28DPR0039O,50.92,64.0,57.5,25.0,37.5,31.25,A1 +,A1,A1,A1,A1,16,23,2,3,2,15,23,2,3
10,CLUB ROTARIO - 28DPR1143G,50.92,64.0,70.0,25.0,12.5,18.75,A1 +,A1 +,A1,A1,A1,16,28,2,1,2,17,26,2,2
11,VENUSTIANO CARRANZA - 28DPR1686Z,50.92,64.0,57.5,25.0,37.5,31.25,A1 +,A1,A1,A1,A1,16,23,2,3,3,16,22,2,3
12,LA CORREGIDORA - 28DPR1173A,50.0,60.0,65.0,25.0,25.0,25.0,A1 +,A1 +,A1,A1,A1,15,26,2,2,2,14,25,3,2
13,LIC. LUIS DONALDO COLOSIO MURRIETA - 28DPR2239Z,47.58,64.0,60.0,12.5,25.0,18.75,A1 +,A1,A1,A1,A1,16,24,1,2,2,16,23,2,2
14,PROF. JOSE MARTINEZ Y MARTINEZ - 28DPR0074U,47.17,64.0,65.0,12.5,12.5,12.5,A1 +,A1 +,A1,A1,A1,16,26,1,1,1,16,26,1,1
15,JUAN B. TIJERINA - 28DPR1125R,45.17,48.0,62.5,25.0,25.0,25.0,A1,A1 +,A1,A1,A1,12,25,2,2,2,12,24,2,2
16,ELVIRA SALDAÑA MORALES - 28DPR2274F,43.33,60.0,70.0,0.0,0.0,0.0,A1 +,A1 +,Pre - A1,Pre - A1,Pre - A1,15,28,0,0,0,15,26,1,2
17,LIC. EMILIO PORTES GIL - 28DPR1593K,41.17,56.00000000000001,55.0,12.5,12.5,12.5,A1 +,A1,A1,A1,A1,14,22,1,1,1,14,21,1,1
18,IGNACIO JOSE ALLENDE - 28DPR2149H,38.67,56.00000000000001,60.0,0.0,0.0,0.0,A1 +,A1,Pre - A1,Pre - A1,Pre - A1,14,24,0,0,0,14,23,3,3
19,PROF. EUTIMIO MARTINEZ LARA - 28DPR0513B,37.33,52.0,60.0,0.0,0.0,0.0,A1,A1,Pre - A1,Pre - A1,Pre - A1,13,24,0,0,0,9,10,1,0
